Latitude,Longitude,ciudad_o_pais
-23.97,-68.13,Tilocalar
-23.83,-67.95,"Tujle, Cerro"
-50.33,-73.75,Aguilera
-47.2,-73.483,Arenales
-52.33,-73.4,"Burney, Monte"
-41.33,-72.618,Calbuco
-45.059,-72.984,Cay
-41.25,-72.27,Cayute-La Vigueria
-41.3,-72.27,Cayutue-La Vigueria
-42.835,-72.651,Chaiten
-43.189,-72.794,Corcovado
-54.97,-70.262,Fueguino
-41.874,-72.431,Hornopiren
-45.9,-72.97,"Hudson, Cerro"
-42.377,-72.578,Huequi
-49.019,-73.504,Lautaro
-45.1,-73.17,Maca
-44.08,-72.88,Melimoyu
-44.7,-73.08,Mentolat
-45.22,-73.05,Meullin
-42.799,-72.445,Michinmahuida
-41.105,-72.496,Osorno
-43.42,-72.83,Palena Volcanic Group
-52.082,-69.698,Pali-Aike Volcanic Field
-44.3,-72.53,Puyuhuapi
-50.964,-73.58,Reclus
-46.167,-72.667,Río Murta
-41.157,-71.885,Tronador
-43.469,-72.782,Yanteles
-41.755,-72.396,Yate
-42.018,-70.194,Crater Basalt Volcanic Field
47.45,120.8,Arxan-Chaihe
41.59,113.111,Honggeertu
44.08,128.83,Jingpohu
49.37,125.92,Keluo Group
42.33,126.5,Longgang Group
48.722,126.15,Wudalianchi
41.98,128.08,Changbaishan
25.23,98.5,Tengchong
35.742,81.646,Ashikule Volcanic Field
42.5,82.5,Tianshan Volc Group
42.9,89.25,Turfan
35.85,91.7,Unnamed
1.08,-77.68,Azufral
5.091,-75.293,"Bravo, Cerro"
0.95,-77.87,Cumbal
1.5,-76.936,Dona Juana
1.22,-77.37,Galeras
2.93,-76.03,"Huila, Nevado del"
4.487,-75.389,Machin
1.57,-76.78,Petacas
2.32,-76.4,Purace
5.203,-75.363,Romeral
4.892,-75.324,"Ruiz, Nevado del"
4.818,-75.365,Santa Isabel
2.108,-76.592,Sotara
4.658,-75.33,"Tolima, Nevado del"
0.817,-77.938,Chiles-Cerro Negro
10.463,-84.703,Arenal
10.135,-84.1,Barva
9.979,-83.852,Irazu
10.748,-85.153,Miravalles
10.98,-85.473,Orosi
